sample_index,sensor,vec_x,vec_y,vec_z,acc
0,1,-0.08327474952385046,0.035544671437860324,-0.9958925192981078,0.045150371720541545
0,2,-0.07260002059055151,-0.033401238412483096,-0.9968016932523184,0.26187262370820164
0,3,-0.02184762678356944,0.0508224693918017,-0.9984687374449196,0.22149221974640124
0,4,-0.20585897994426625,-0.02073267206958877,-0.9783620071841428,0.2750887190334418
0,5,-0.020878064549377046,-0.08525748306803507,-0.9961401668771728,0.16498498671628592
1,1,-0.08379926941696804,0.036079763467901,-0.995829315197498,0.040370020218412773
1,2,-0.07167660622784561,-0.032709021643734106,-0.9968915443225458,0.25294450784657896
1,3,-0.02186309815796228,0.051365419961045926,-0.9984406572790724,0.24120197620324405
1,4,-0.20549833634670905,-0.020118633731742885,-0.9784507102661278,0.2750887190334418
1,5,-0.020619748058939992,-0.08427264278204842,-0.9962292705900921,0.13304862367657053
2,1,-0.08415065317746462,0.03652571046265647,-0.9957833330268264,0.012252159474801013
2,2,-0.07089666444714078,-0.032636844735241886,-0.99694962545857,0.18733134638891563
2,3,-0.02166670554291793,0.05160523086609636,-0.9984325318855944,0.19178629348371884
2,4,-0.20513775621491995,-0.019504672339991,-0.9785387435263764,0.2482909576284195
2,5,-0.020352857230796943,-0.08374228439429389,-0.9962795736007504,0.06619000145168351
3,1,-0.08474454645193642,0.0370122306210294,-0.995715141506748,0.03673086506920786
3,2,-0.06963642376822853,-0.032864495013998976,-0.9970310006724356,0.18733134638891563
3,3,-0.02149612045224514,0.051789463862632036,-0.9984266545312762,0.14234158295130042
3,4,-0.2050692714097044,-0.0185443876124362,-0.978571727614946,0.21957154688561364
3,5,-0.02012538121676476,-0.08295777801396008,-0.996349827865208,0.052809480567366014
4,1,-0.08510880566880097,0.037420762954370704,-0.99566867595484,0.029035582718436943
4,2,-0.06837554835137492,-0.0330893718801263,-0.997110778845726,0.17127342880344626
4,3,-0.0210993644500482,0.052004965508839096,-0.998423958737072,0.09599805880918652
4,4,-0.2048075669635425,-0.01824248308916257,-0.9786322337780526,0.21957154688561364
4,5,-0.02000088385641478,-0.08267136757598811,-0.9963761598424724,0.07785164987770098
5,1,-0.08567896208434107,0.03799020865400778,-0.995598242653058,0.04383659790943926
5,2,-0.06707844028951772,-0.033530925872857636,-0.99718409393712,0.1826132739352251
5,3,-0.020934421471791927,0.05257030659918624,-0.99839777826448,0.22020895703401452
5,4,-0.2045460852496535,-0.017940337545156476,-0.9786924739172036,0.24532016487035133
5,5,-0.02001684690954181,-0.08240518834346194,-0.9963978844960758,0.11227098160635757
6,1,-0.08610871419410351,0.03825639612941305,-0.9955509957160952,0.05396480551536182
6,2,-0.06617116641456414,-0.0335139117432024,-0.9972452774102358,0.1826132739352251
6,3,-0.020797369361123617,0.05358793207225815,-0.9983465174774044,0.17818992641590276
6,4,-0.2042118255838283,-0.01752297565813941,-0.97876982773615,0.21262186218818027
6,5,-0.02017851327352127,-0.082249309332671,-0.9964074779285588,0.12264730742021739
7,1,-0.08658420223990361,0.03871609688290381,-0.9954919701165146,0.05611136459147141
7,2,-0.06526390141861302,-0.033495478889891704,-0.9973056318613436,0.17472445280411367
7,3,-0.021193829670633383,0.05412674327835024,-0.998309138244088,0.1537193604767036
7,4,-0.2037527704698008,-0.017003341280400576,-0.9788747055345952,0.21262186218818027
7,5,-0.02038419498499536,-0.08187088031186038,-0.9964344166617402,0.08895014206737084
8,1,-0.08683212566854888,0.0391512475940499,-0.995453358643052,0.07424395905705623
8,2,-0.06463040254369486,-0.032968600078371914,-0.9973645543007212,0.17136178411851188
8,3,-0.02101875301426229,0.05479803378227853,-0.9982761508171626,0.10846277894526477
8,4,-0.20329396430392369,-0.016483244605963017,-0.9789790009803696,0.22990382064466736
8,5,-0.020531124179474815,-0.08142206488630416,-0.996468223495851,0.13433248755055469
9,1,-0.08709586472155721,0.03962652929792359,-0.995411488755896,0.1016670325100594
9,2,-0.06392696812245839,-0.03245484791123785,-0.9974266573520844,0.17136178411851188
9,3,-0.02110330470755161,0.05510922271552205,-0.998257290279984,0.07438285448277013
9,4,-0.20273974403585535,-0.015993368161882338,-0.9791019993150089,0.20015288156857455
9,5,-0.02082799195770916,-0.08082612497457325,-0.9965105450021003,0.16109293564929195
10,1,-0.08737722031370493,0.03994796512057373,-0.9953739266145272,0.10495374989410326
